,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,3,11,5,3,10,1,12,2,1,5,4,3,1,6,4,9
距離適性,62,62,100,57,75,63,76,64,65,77,62,96,72,60,56,66
脚質,52,46,107,109,49,85,47,97,114,35,75,109,105,20,112,95
成長,50,63,74,98,62,75,74,63,58,67,62,76,53,55,56,76
馬場適性,83,47,14,49,38,46,51,84,22,55,57,32,47,61,39,49
総合評価,4.28,3.91,4.16,4.25,4.11,3.63,3.96,3.55,3.39,4.03,3.44,4.09,3.84,3.67,3.85,3.87
実績評価,4.28,3.91,4.16,4.25,4.11,3.63,3.96,3.55,3.39,4.03,3.44,4.09,3.84,3.67,3.85,3.87
ポテンシャル評価,4.42,3.7,4.15,4.13,3.76,3.46,3.63,3.32,3.24,3.86,2.87,3.75,3.94,3.52,4.35,3.47
前走レース名,"<a href=""/race/201405050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201408040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/2014A8a00c05/"" title=""凱旋門賞(G1)"">凱旋門賞(G1)</a>","<a href=""/race/201405050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201405050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201408050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201407040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201408050611/"" title=""マイルチャンピオンS(G1)"">マイルチャンピオンS(G1)</a>","<a href=""/race/201405050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201405050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201407040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201407040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201405050911/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201408050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201408050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201407040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>"
前走オッズ,3.6,5.3,,6.7,8.9,6.8,3.8,4.7,13.0,18.2,7.0,5.4,14.3,18.3,5.6,41.6
前走成績,4,16,14,2,1,1,1,4,11,8,2,15,7,11,12,12
