,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,4,9,4,20,4,9,2,7,6,7,6,8,16,9,5,7
距離適性,76,83,97,60,88,58,61,65,54,87,112,80,91,101,57,66
脚質,73,110,85,6,19,92,106,59,86,98,25,3,8,73,2,19
成長,80,56,73,46,75,88,78,67,88,75,83,112,87,94,65,91
馬場適性,63,45,67,46,45,50,77,47,36,44,43,27,41,48,48,46
総合評価,4.35,4.63,3.57,3.59,3.25,3.88,3.5,4.31,3.25,3.64,3.9,4.29,3.25,,3.67,3.58
実績評価,4.35,4.63,3.57,3.59,3.25,3.88,3.5,4.31,3.25,3.64,3.9,4.29,3.25,,3.67,3.58
ポテンシャル評価,4.27,4.72,3.29,3.45,3.25,3.88,3.5,4.31,3.25,3.71,4.0,4.23,3.25,,3.33,3.42
前走成績,10,1,9,10,5,6,7,8,9,3,16,12,4,10,8,12
前々走成績,3,1,2,12,6,7,6,3,9,10,10,10,4,5,15,5
前々前走成績,1,失,1,14,3,1,12,2,2,9,6,9,4,14,2,16
前走オッズ,5.8,1.2,12.9,89.9,207.3,56.5,81.2,6.8,32.3,12.7,53.0,19.7,17.8,11.1,11.5,7.6
前々走オッズ,,1.3,14.4,123.9,3.9,19.5,71.9,2.1,144.6,52.6,47.6,17.2,13.0,6.6,121.5,58.1
前々前走オッズ,,,1.8,131.5,7.1,75.8,13.7,2.2,12.0,26.3,36.5,14.1,8.2,156.4,16.4,183.7
