,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,12,5,26,6,7,9,6,11,10,8,5,12,6,10,3,6
距離適性,63,64,63,69,74,66,72,90,50,99,100,74,63,66,98,61
脚質,44,108,54,100,35,81,92,83,93,87,111,107,110,95,92,81
成長,53,48,75,64,73,81,57,85,50,81,80,83,70,62,89,48
馬場適性,31,54,49,54,54,40,37,49,57,51,60,38,61,47,45,65
総合評価,4.3,4.31,3.78,3.52,4.16,4.3,4.23,3.38,4.14,3.55,3.48,3.79,4.28,4.17,3.33,3.73
実績評価,4.3,4.31,3.78,3.52,4.16,4.3,4.23,3.38,4.14,3.55,3.48,3.79,4.28,4.17,3.33,3.73
ポテンシャル評価,4.6,4.38,3.53,2.96,4.15,3.94,4.18,3.5,3.7,3.55,3.42,3.79,4.26,4.0,3.33,3.88
前走成績,8,7,16,16,14,3,10,12,4,10,14,中,10,3,9,11
前々走成績,13,1,5,17,17,3,3,12,4,3,14,2,9,14,5,12
前々前走成績,1,4,12,7,10,3,1,9,9,7,7,12,13,4,7,12
前走オッズ,10.2,3.2,48.1,26.1,169.9,3.7,4.9,77.3,5.7,71.8,116.6,164.5,15.6,6.2,150.4,18.6
前々走オッズ,10.9,3.4,44.7,66.3,139.6,5.4,4.7,471.1,5.3,54.3,207.8,9.6,5.5,47.2,4.8,116.9
前々前走オッズ,,2.8,15.8,95.6,67.2,4.5,7.9,135.4,39.5,28.7,7.3,38.4,12.1,,31.9,51.6
