,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
芝適性,1,8,3,2,1,1,11,6,1,3,8,5,1,1,1,2
距離適性,63,58,99,68,85,83,48,93,116,70,99,91,58,101,97,82
脚質,76,104,111,44,106,26,75,79,1,99,116,42,1,62,74,71
成長,91,87,74,70,86,37,40,116,97,95,108,82,116,105,111,78
馬場適性,9,53,75,37,53,18,82,19,58,88,70,11,1,22,20,25
総合評価,4.35,4.08,4.36,4.3,4.22,4.23,4.04,4.03,4.13,4.39,3.67,4.4,3.5,4.21,3.69,4.17
実績評価,4.35,4.08,4.36,4.3,4.22,4.23,4.04,4.03,4.13,4.39,3.67,4.4,3.5,4.21,3.69,4.17
ポテンシャル評価,4.31,3.68,4.33,4.21,3.66,3.68,3.95,3.37,4.0,4.0,3.43,4.11,3.17,3.73,3.85,4.04
前走成績,3,2,3,4,11,12,14,14,6,1,13,10,14,除,8,5
前々走成績,7,2,2,1,1,4,3,4,13,1,5,10,13,3,13,3
前々前走成績,1,1,1,3,3,3,7,7,6,2,9,3,10,1,13,中
前走オッズ,2.9,74.9,3.5,8.1,30.2,19.6,62.3,117.2,69.2,1.8,78.6,43.8,3.7,,146.2,12.3
前々走オッズ,4.8,12.3,17.4,3.3,5.2,6.7,10.0,48.7,41.2,,23.8,37.4,36.2,4.7,278.8,8.1
前々前走オッズ,1.8,20.2,2.0,1.9,5.0,7.3,159.1,138.8,9.9,1.9,150.6,7.4,12.5,,104.6,33.1
