,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
芝適性,4,9,4,20,4,9,2,7,6,7,6,8,16,9,5
距離適性,76,83,97,60,88,58,61,65,54,87,112,80,91,101,57
脚質,73,110,85,6,19,92,106,59,86,98,25,3,8,73,2
成長,80,56,73,46,75,88,78,67,88,75,83,112,87,94,65
馬場適性,63,45,67,46,45,50,77,47,36,44,43,27,41,48,48
総合評価,4.35,4.64,3.57,3.59,3.25,3.88,3.5,4.32,3.25,3.64,3.9,4.29,3.25,,3.67
実績評価,4.35,4.64,3.57,3.59,3.25,3.88,3.5,4.32,3.25,3.64,3.9,4.29,3.25,,3.67
ポテンシャル評価,4.27,4.73,3.29,3.45,3.25,3.88,3.5,4.32,3.25,3.71,4.0,4.23,3.25,,3.33
前走レース名,"<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200508040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200509050411/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200503030811/"" title=""福島記念(G3)"">福島記念(G3)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200506050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200505050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200508050711/"" title=""京阪杯(G3)"">京阪杯(G3)</a>","<a href=""/race/200508050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>"
前走オッズ,7.2,1.0,20.5,50.1,3.9,19.5,71.9,2.1,5.7,26.3,1.8,17.2,135.1,12.9,16.4
前走成績,2,1,4,14,6,7,6,3,1,9,1,10,17,11,2
2走前レース名,"<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200509040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200505050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200506040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200505050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200505040810/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200505050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200501010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200505040411/"" title=""府中牝馬S(G3)"">府中牝馬S(G3)</a>"
2走前オッズ,6.7,1.1,7.2,6.5,7.1,75.8,13.7,2.2,4.9,29.7,4.2,14.1,15.5,3.4,7.7
2走前成績,6,1,15,11,3,1,12,2,2,13,5,9,5,7,3
3走前レース名,"<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200505030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200508040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200508040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200501010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/2005A6081604/"" title=""インターナショナルS(G1)"">インターナショナルS(G1)</a>","<a href=""/race/200504030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200508030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200406050809/"" title=""有馬記念(G1)"">有馬記念(G1)</a>","<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200508040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200505030111/"" title=""目黒記念(G2)"">目黒記念(G2)</a>","<a href=""/race/200503010811/"" title=""福島牝馬S(G3)"">福島牝馬S(G3)</a>"
3走前オッズ,18.3,1.1,1.7,21.5,42.5,17.7,17.9,,8.8,35.1,8.9,1.9,7.8,3.6,5.9
3走前成績,2,1,1,12,2,1,1,2,2,1,5,7,6,1,4
