,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
芝適性,4,3,2,1,9,3,15,2,1,4,21,11,4,24,5
距離適性,85,106,99,47,61,97,116,81,65,81,72,65,62,82,54
脚質,71,3,21,86,103,99,109,105,114,97,94,96,75,93,1
成長,49,97,99,97,36,101,107,86,58,93,61,83,62,76,89
馬場適性,42,20,35,29,63,57,44,60,22,26,46,61,57,60,38
総合評価,4.28,4.58,4.22,3.88,4.0,3.72,3.58,3.7,3.39,4.29,3.15,3.34,3.44,3.31,3.71
実績評価,4.28,4.58,4.22,3.88,4.0,3.72,3.58,3.7,3.39,4.29,3.15,3.34,3.44,3.31,3.71
ポテンシャル評価,4.14,4.67,4.09,3.74,3.9,3.49,3.58,3.32,3.24,4.08,3.06,2.98,2.87,2.92,3.33
前走レース名,"<a href=""/race/201608040711/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/201605050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201605050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201607040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201608050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201605050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201606050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/201605050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201607040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201608050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/201605040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201605050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/201607040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201607040111/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/201603030411/"" title=""福島記念(G3)"">福島記念(G3)</a>"
前走オッズ,2.3,3.8,4.5,9.9,3.6,13.9,1.3,12.2,17.6,3.1,47.8,239.4,4.1,147.6,14.5
前走成績,1,1,4,1,3,3,1,2,8,6,6,15,3,7,1
2走前レース名,"<a href=""/race/201609040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/201608040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201605040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201605020811/"" title=""ヴィクトリアマイル(G1)"">ヴィクトリアマイル(G1)</a>","<a href=""/race/201605050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201605050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201608040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201509030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201606040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201608040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201608040311/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201605040911/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/201605050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/201606040711/"" title=""秋風S(1600万下)"">秋風S(1600万下)</a>"
