,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ゴールドアクター,サウンズオブアース,キタサンブラック,マリアライト,ラブリーデイ,トーセンレーヴ,アドマイヤデウス,ゴールドシップ,ワンアンドオンリー,ルージュバック,アルバート,ラストインパクト,ヒットザターゲット,ダービーフィズ,オーシャンブルー,リアファル
騎手名,吉田隼人,Ｍ．デム,横山典弘,蛯名正義,川田将雅,ボウマン,岩田康誠,内田博幸,浜中俊,戸崎圭太,アッゼニ,菱田裕二,小牧太,大野拓弥,石川裕紀,ルメール
枠順,7,9,11,16,4,10,5,15,8,13,6,3,2,14,1,12
走破タイム,2:33.0,2:33.0,2:33.1,2:33.1,2:33.2,2:33.3,2:33.3,2:33.3,2:33.5,2:33.5,2:33.6,2:33.6,2:33.7,2:33.9,2:35.4,2:35.5
オッズ,17.0,9.9,8.4,41.5,4.5,86.7,34.4,4.1,30.4,10.7,16.1,20.6,55.4,138.8,122.8,5.6
通過順位,3-3-5-3,3-3-5-6,1-1-1-1,3-3-2-2,6-6-8-6,14-14-15-13,6-6-7-10,16-16-2-3,11-11-12-13,10-10-8-5,15-15-12-10,8-9-10-9,8-8-10-13,12-12-12-10,12-12-16-16,2-2-2-6
馬体重,494(+4),502(0),526(-4),434(+4),488(+2),480(+2),484(+4),508(-2),498(0),458(+6),466(0),496(+2),516(+2),462(-6),446(+2),506(0)
性齢,牡4,牡4,牡3,牝4,牡5,牡7,牡4,牡6,牡4,牝3,牡4,牡5,牡7,牡5,牡7,牡3
斤量,57,57,55,55,57,57,57,57,57,53,57,57,57,57,57,55
上がり3ハロン,34.8,34.7,35.1,35.0,34.7,34.4,34.9,35.2,34.8,35.0,34.9,35.0,35.1,35.2,36.4,37.4
人気,8,5,4,12,2,14,11,1,10,6,7,9,13,16,15,3
