,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,シンボリクリスエス,リンカーン,ゼンノロブロイ,ツルマルボーイ,ウインブレイズ,ダービーレグノ,チャクラ,タップダンスシチー,アグネスデジタル,ファストタテヤマ,ザッツザプレンティ,アクティブバイオ,,,,
騎手名,ペリエ,武豊,柴田善臣,横山典弘,木幡初広,蛯名正義,後藤浩輝,佐藤哲三,四位洋文,安田康彦,安藤勝己,武幸四郎,,,,
枠順,12,3,2,1,5,4,7,6,11,9,8,10,,,,
走破タイム,2:30.5,2:32.0,2:32.1,2:32.2,2:32.3,2:32.4,2:32.6,2:32.8,2:32.8,2:33.9,2:34.2,2:36.1,,,,
オッズ,2.6,8.1,5.9,13.2,64.7,78.9,39.8,3.9,17.4,65.7,8.7,58.1,,,,
通過順位,6-6-5-2,4-4-2-1,4-4-6-3,12-12-12-9,7-6-7-6,9-9-8-7,9-9-8-8,3-3-2-3,8-8-8-9,11-11-11-9,1-1-1-3,2-2-2-12,,,,
馬体重,538(-2),466(0),506(+12),454(-8),540(+6),458(0),466(+8),506(+4),466(-2),458(-2),502(+6),504(+4),,,,
性齢,牡4,牡3,牡3,牡5,牡6,牡5,牡3,牡6,牡6,牡4,牡3,牡6,,,,
斤量,57,55,55,57,57,57,55,57,57,57,55,57,,,,
上がり3ハロン,35.3,37.0,36.8,35.2,36.8,36.2,36.4,37.8,36.6,37.5,39.3,41.0,,,,
人気,1,4,3,6,10,12,8,2,7,11,5,9,,,,
