,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,キタサンブラック,クイーンズリング,シュヴァルグラン,スワーヴリチャード,ルージュバック,シャケトラ,サウンズオブアース,レインボーライン,サトノクロニクル,ヤマカツエース,ミッキークイーン,ブレスジャーニー,サトノクラウン,トーセンビクトリー,カレンミロティック,サクラアンプルール
騎手名,武豊,ルメール,ボウマン,Ｍ．デム,北村宏司,福永祐一,Ｃ．デム,岩田康誠,戸崎圭太,池添謙一,浜中俊,三浦皇成,ムーア,田辺裕信,川田将雅,蛯名正義
枠順,2,3,10,14,11,7,16,8,6,1,13,4,12,5,15,9
走破タイム,2:33.6,2:33.8,2:33.8,2:33.8,2:34.0,2:34.1,2:34.2,2:34.3,2:34.3,2:34.4,2:34.5,2:34.6,2:34.6,2:34.8,2:35.1,2:35.5
オッズ,1.9,33.1,6.7,4.5,55.4,29.6,132.9,44.7,70.7,24.6,19.6,71.7,9.8,159.5,204.8,72.9
通過順位,1-1-1-1,4-5-5-3,8-8-8-8,10-12-10-8,16-16-16-16,2-2-2-2,15-14-13-15,13-12-13-13,6-6-6-6,2-3-3-3,13-14-13-13,10-10-10-11,10-10-10-11,6-6-6-3,4-3-3-6,8-8-8-8
馬体重,540(-2),474(0),474(+4),510(+8),460(+6),520(-4),512(+10),444(-4),454(0),510(+4),432(-10),466(+4),496(0),482(+10),460(+4),494(+12)
性齢,牡5,牝5,牡5,牡3,牝5,牡4,牡6,牡4,牡3,牡5,牝5,牡3,牡5,牝5,セ9,牡6
斤量,57,55,57,55,55,57,57,57,55,57,55,55,57,55,57,57
上がり3ハロン,35.2,35.1,34.8,34.5,34.3,35.6,34.7,34.9,35.5,35.8,35.1,35.4,35.4,36.0,36.5,36.6
人気,1,8,3,2,10,7,14,9,11,6,5,12,4,15,16,13
