,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ハーツクライ,ディープインパクト,リンカーン,コスモバルク,コイントス,ヘヴンリーロマンス,サンライズペガサス,ゼンノロブロイ,グラスボンバー,スズカマンボ,デルタブルース,タップダンスシチー,ビッグゴールド,オペラシチー,オースミハルカ,マイソールサウンド
騎手名,ルメール,武豊,横山典弘,五十嵐冬,北村宏司,松永幹夫,田中勝春,デザーモ,勝浦正樹,安藤勝己,ペリエ,佐藤哲三,柴田善臣,中舘英二,川島信二,本田優
枠順,10,6,14,4,13,7,2,3,8,5,15,9,12,11,16,1
走破タイム,2:31.9,2:32.0,2:32.2,2:32.4,2:32.5,2:32.5,2:32.7,2:32.8,2:32.9,2:32.9,2:33.0,2:33.3,2:33.6,2:33.7,2:33.8,2:34.3
オッズ,17.1,1.3,34.0,85.3,207.3,56.5,81.2,6.8,96.1,52.6,11.5,19.7,188.9,156.4,121.5,194.4
通過順位,3-4-4-3,11-10-8-6,7-7-6-3,3-2-2-1,10-10-11-13,11-12-11-11,11-12-11-8,8-8-8-8,15-15-15-13,15-15-15-15,8-8-8-11,1-1-1-2,14-14-11-16,5-6-6-8,2-2-2-3,5-4-4-6
馬体重,498(+2),440(-4),474(+2),506(+6),550(+6),508(0),492(+8),520(+12),492(+6),498(+10),530(+2),512(+2),474(+6),504(-4),474(-2),474(+4)
性齢,牡4,牡3,牡5,牡4,牡7,牝5,牡7,牡5,牡5,牡4,牡4,牡8,牡7,牡4,牝5,牡6
斤量,57,55,57,57,57,55,57,57,57,57,57,57,57,57,55,57
上がり3ハロン,35.0,34.6,35.0,35.8,34.9,34.9,35.1,35.4,35.0,34.9,35.6,36.9,35.9,36.6,37.1,37.4
人気,4,1,6,10,16,8,9,2,11,7,3,5,14,13,12,15
