,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ゴールドシップ,オーシャンブルー,ルーラーシップ,エイシンフラッシュ,スカイディグニティ,ダークシャドウ,ナカヤマナイト,ルルーシュ,ビートブラック,ダイワファルコン,アーネストリー,ローズキングダム,トレイルブレイザー,オウケンブルースリ,ネヴァブション,トゥザグローリー
騎手名,内田博幸,ルメール,ウィリア,三浦皇成,スミヨン,ムーア,柴田善臣,横山典弘,石橋脩,北村宏司,福永祐一,岩田康誠,武豊,田辺裕信,田中勝春,蛯名正義
枠順,13,6,9,2,3,10,15,16,14,7,4,1,8,12,5,11
走破タイム,2:31.9,2:32.1,2:32.2,2:32.4,2:32.5,2:32.5,2:33.0,2:33.4,2:33.4,2:33.5,2:33.5,2:33.6,2:34.2,2:34.4,2:34.5,2:36.1
オッズ,2.7,27.6,3.7,10.0,16.7,10.8,13.9,15.6,23.6,38.4,70.1,51.6,27.4,116.6,144.1,29.6
通過順位,16-15-14-10,10-7-10-10,13-13-14-12,7-7-7-5,5-5-6-5,7-7-7-5,12-12-10-9,3-3-3-2,2-2-2-1,5-5-3-2,1-1-1-2,4-3-3-5,11-11-12-12,14-14-12-16,14-15-16-15,7-7-7-12
馬体重,506(+6),438(+2),512(+6),488(0),480(-6),514(+2),490(+6),514(+12),522(+8),514(+8),530(-4),460(+6),498(0),486(+2),488(+8),534(-4)
性齢,牡3,牡4,牡5,牡5,牡3,牡5,牡4,牡4,牡5,牡5,牡7,牡5,牡5,牡7,牡9,牡5
斤量,55,57,57,57,55,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,34.9,35.3,35.2,35.8,36.0,35.9,36.2,37.1,37.4,37.1,37.6,37.2,37.3,37.5,37.4,39.5
人気,1,10,2,3,7,4,5,6,8,12,14,13,9,15,16,11
