,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ジェンティルドンナ,トゥザワールド,ゴールドシップ,ジャスタウェイ,エピファネイア,ラキシス,ラストインパクト,トーセンラー,デニムアンドルビー,フェノーメノ,サトノノブレス,ウインバリアシオン,ワンアンドオンリー,ヴィルシーナ,メイショウマンボ,オーシャンブルー
騎手名,戸崎圭太,ビュイッ,岩田康誠,福永祐一,川田将雅,Ｃ．デム,菱田裕二,武豊,浜中俊,田辺裕信,池添謙一,藤岡康太,横山典弘,内田博幸,武幸四郎,蛯名正義
枠順,4,6,14,15,13,5,7,1,12,10,11,9,3,2,8,16
走破タイム,2:35.3,2:35.4,2:35.4,2:35.5,2:35.5,2:35.5,2:35.5,2:35.7,2:35.7,2:35.7,2:35.9,2:35.9,2:36.0,2:36.1,2:36.4,2:36.4
オッズ,8.7,31.2,3.5,4.6,4.0,36.3,17.6,22.8,118.6,15.3,81.0,34.9,11.8,77.7,86.3,87.1
通過順位,3-3-3-2,7-7-6-7,11-10-6-5,13-13-13-12,2-2-2-1,5-5-5-2,8-9-10-10,3-3-3-5,11-11-10-12,8-7-6-7,13-13-14-15,10-11-10-7,5-5-6-10,1-1-1-2,16-16-16-16,15-15-14-14
馬体重,470(-2),524(+4),510(0),504(+6),494(+2),458(0),484(-2),462(-4),448(+6),502(+8),512(+4),530(-4),492(+4),458(+4),486(-4),432(-4)
性齢,牝5,牡3,牡5,牡5,牡4,牝4,牡4,牡6,牝4,牡5,牡4,牡6,牡3,牝5,牝4,牡6
斤量,55,55,57,57,57,55,57,57,55,57,57,57,55,55,55,57
上がり3ハロン,34.1,33.8,33.9,33.4,34.6,34.1,33.7,34.4,33.9,34.2,33.6,34.1,34.4,35.4,33.9,34.2
人気,4,9,1,3,2,11,7,8,16,6,13,10,5,12,14,15
