,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ディープインパクト,ポップロック,ダイワメジャー,ドリームパスポート,メイショウサムソン,デルタブルース,トウショウナイト,アドマイヤフジ,アドマイヤメイン,スイープトウショウ,コスモバルク,スウィフトカレント,ウインジェネラーレ,トーセンシャナオー,,
騎手名,武豊,ペリエ,安藤勝己,内田博幸,石橋守,岩田康誠,武士沢友,武幸四郎,柴田善臣,池添謙一,五十嵐冬,横山典弘,蛯名正義,勝浦正樹,,
枠順,4,1,5,3,8,2,9,12,10,6,7,11,13,14,,
走破タイム,2:31.9,2:32.4,2:32.5,2:32.5,2:32.7,2:32.7,2:32.8,2:32.8,2:32.8,2:32.9,2:33.2,2:33.3,2:33.6,2:34.0,,
オッズ,1.2,31.1,15.1,13.1,21.4,39.0,73.9,131.4,35.4,29.6,36.4,92.0,209.9,218.2,,
通過順位,12-12-11-10,4-3-4-4,2-2-2-2,7-8-7-7,3-3-2-2,4-3-4-4,7-7-6-4,10-11-12-12,1-1-1-1,13-13-13-12,9-9-9-7,14-14-14-14,10-10-10-7,4-6-8-10,,
馬体重,438(+2),494(0),532(+6),478(+12),518(+4),520(0),496(+14),528(-8),496(-7),456(-8),512(+2),478(-4),556(0),442(-4),,
性齢,牡4,牡5,牡5,牡3,牡3,牡5,牡5,牡4,牡3,牝5,牡5,牡5,牡6,牡3,,
斤量,57,57,57,55,55,57,57,57,55,55,57,57,57,55,,
上がり3ハロン,33.8,35.0,35.3,34.9,35.4,35.3,35.3,34.6,36.3,34.5,35.4,34.4,35.7,36.3,,
人気,1,6,3,2,4,9,10,12,7,5,8,11,13,14,,
