,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,エフフォーリア,ディープボンド,クロノジェネシス,ステラヴェローチェ,タイトルホルダー,アリストテレス,アカイイト,モズベッロ,ユーキャンスマイル,キセキ,ウインキートス,シャドウディーヴァ,パンサラッサ,ペルシアンナイト,メロディーレーン,アサマノイタズラ
騎手名,横山武史,和田竜二,ルメール,Ｍ．デム,横山和生,武豊,幸英明,池添謙一,藤岡佑介,松山弘平,丹内祐次,横山典弘,菱田裕二,Ｃ．デム,岩田望来,田辺裕信
枠順,10,5,7,9,16,11,13,3,8,15,6,12,2,1,4,14
走破タイム,2:32.0,2:32.1,2:32.2,2:32.3,2:32.5,2:33.0,2:33.1,2:33.5,2:33.6,2:33.6,2:34.3,2:34.3,2:34.4,2:34.6,2:35.2,2:35.4
オッズ,2.1,20.9,2.9,7.9,10.2,47.7,31.8,146.2,150.6,43.8,70.0,144.5,45.5,62.3,146.8,51.1
通過順位,9-9-8-5,5-6-6-5,7-7-8-8,10-11-10-8,2-2-2-2,15-15-14-12,12-12-13-10,13-13-10-13,14-14-14-15,7-7-6-3,3-3-3-5,3-4-5-10,1-1-1-1,5-4-3-3,10-10-10-13,16-16-16-16
馬体重,516(+2),502(0),478(0),498(+4),476(+12),474(-6),516(+2),488(0),512(+6),516(+4),480(+10),476(-2),480(+6),500(-2),352(-2),496(+4)
性齢,牡3,牡4,牝5,牡3,牡3,牡4,牝4,牡5,牡6,牡7,牝4,牝5,牡4,牡7,牝5,牡3
斤量,55,57,55,55,55,57,55,57,57,57,55,55,57,57,55,55
上がり3ハロン,35.9,36.1,36.0,35.9,36.9,36.4,36.6,37.1,36.9,37.6,38.5,38.4,39.1,38.8,38.8,38.4
人気,1,5,2,3,4,9,6,14,16,7,12,13,8,11,15,10
