,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,シンボリクリスエス,タップダンスシチー,コイントス,ナリタトップロード,ファインモーション,ノーリーズン,ジャングルポケット,フサイチランハート,エアシャカール,テイエムオーシャン,ヒシミラクル,アクティブバイオ,アメリカンボス,イーグルカフェ,,
騎手名,ペリエ,佐藤哲三,岡部幸雄,渡辺薫彦,武豊,蛯名正義,藤田伸二,バルジュ,横山典弘,本田優,角田晃一,後藤浩輝,江田照男,田中勝春,,
枠順,1,8,2,11,12,6,9,13,4,5,3,14,7,10,,
走破タイム,2:32.6,2:32.7,2:33.0,2:33.4,2:33.4,2:33.7,2:33.9,2:33.9,2:34.1,2:34.1,2:34.2,2:34.4,2:34.7,2:34.9,,
オッズ,3.7,86.3,29.2,10.6,2.6,20.8,4.5,94.9,21.1,33.2,18.5,72.6,62.7,29.3,,
通過順位,6-6-6-6,2-2-1-1,4-4-4-4,3-3-3-3,1-1-2-2,8-8-10-9,8-8-6-4,11-12-12-11,13-13-10-11,6-6-6-6,13-14-14-11,4-4-4-6,8-8-6-9,11-11-12-14,,
馬体重,528(-8),500(-8),538(+8),506(+8),482(-6),476(+2),476(-2),494(+6),510(+2),468(+6),464(+4),502(+2),492(+6),486(+14),,
性齢,牡3,牡5,牡4,牡6,牝3,牡3,牡4,牡5,牡5,牝4,牡3,牡5,牡7,牡5,,
斤量,55,57,57,57,53,55,57,57,57,55,55,57,57,57,,
上がり3ハロン,34.6,35.9,35.2,35.8,35.9,35.6,35.9,35.7,36.0,36.2,35.6,36.6,36.8,36.7,,
人気,2,13,8,4,1,6,3,14,7,10,5,12,11,9,,
