,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,オルフェーヴル,ウインバリアシオン,ゴールドシップ,ラブイズブーシェ,タマモベストプレイ,カレンミロティック,デスペラード,トゥザグローリー,テイエムイナズマ,ヴェルデグリーン,アドマイヤラクティ,ラブリーデイ,ナカヤマナイト,トーセンジョーダン,ダノンバラード,ルルーシュ
騎手名,池添謙一,岩田康誠,ムーア,武豊,和田竜二,戸崎圭太,横山典弘,ルメール,Ｍ．デム,田辺裕信,ウィリア,蛯名正義,柴田善臣,内田博幸,川田将雅,福永祐一
枠順,6,4,14,11,7,3,5,13,12,2,10,8,15,16,1,9
走破タイム,2:32.3,2:33.6,2:33.8,2:34.2,2:34.3,2:34.3,2:34.3,2:34.7,2:34.9,2:34.9,2:35.3,2:35.5,2:35.7,2:35.8,2:37.0,2:42.8
オッズ,1.6,16.1,4.4,63.7,113.7,28.1,33.8,63.8,110.2,37.4,14.4,81.1,47.5,24.8,40.9,51.2
通過順位,13-13-12-2,9-11-12-4,12-11-8-4,14-15-14-14,9-8-8-4,2-2-1-1,6-8-11-10,9-8-8-10,16-16-16-14,14-14-14-10,6-6-3-10,3-3-3-4,3-3-2-4,6-6-3-4,3-3-3-2,1-1-3-16
馬体重,466(0),534(-4),498(-2),456(+6),496(-6),450(-10),478(+4),530(-4),508(+6),480(+4),490(+6),476(-4),498(+4),482(+2),480(-4),512(+8)
性齢,牡5,牡5,牡4,牡4,牡3,セ5,牡5,牡6,牡3,牡5,牡5,牡3,牡5,牡7,牡5,牡5
斤量,57,57,57,57,55,57,57,57,55,57,57,55,57,57,57,57
上がり3ハロン,36.0,37.3,37.8,37.6,38.3,38.7,38.1,38.6,37.7,38.4,39.4,39.7,40.0,39.9,41.2,47.0
人気,1,4,2,12,16,6,7,13,15,8,3,14,10,5,9,11
