,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,7,6,6,5,26,6,6,14,2,6,10,23,9,7,7,7,6,12
距離適性,74,61,69,64,63,72,56,56,99,61,64,71,65,62,33,42,90,74
脚質,35,105,100,108,54,92,32,36,105,81,61,75,7,23,101,8,10,107
成長,73,85,64,48,75,57,71,61,94,48,95,84,77,82,74,75,63,83
馬場適性,54,58,54,54,49,37,48,72,48,65,43,45,28,59,50,36,46,38
総合評価,4.16,3.75,3.52,4.31,3.78,4.23,3.58,3.7,3.77,3.73,3.5,3.5,3.36,4.12,3.73,3.46,3.63,3.79
実績評価,4.16,3.75,3.52,4.31,3.78,4.23,3.58,3.7,3.77,3.73,3.5,3.5,3.36,4.12,3.73,3.46,3.63,3.79
ポテンシャル評価,4.15,3.49,2.96,4.38,3.53,4.18,3.5,3.5,3.82,3.88,3.17,3.5,3.64,3.95,3.59,3.06,3.38,3.79
前走レース名,"<a href=""/race/201101010411/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201108030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201109040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201109040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201109040411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201108050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201108050211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201106040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201106040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201105040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201108020611/"" title=""京都記念(G2)"">京都記念(G2)</a>"
前走オッズ,3.0,2.0,8.0,2.8,10.1,5.6,13.8,10.0,4.1,1.8,12.0,28.4,15.9,1.4,9.6,7.5,43.7,9.6
前走成績,1,1,8,2,13,3,7,3,4,1,10,9,9,1,6,8,11,2
