,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,6,5,9,6,9,3,2,6,5,3,7,7,7,11,21,10,37,26
距離適性,72,77,66,61,32,57,99,51,54,58,62,42,74,90,64,58,57,63
脚質,92,35,81,105,7,109,105,89,78,55,23,8,35,83,76,73,43,54
成長,57,67,81,85,51,98,94,48,70,61,82,75,73,85,71,69,79,75
馬場適性,37,55,40,58,44,49,48,63,50,53,59,36,54,49,46,50,51,49
総合評価,4.23,4.03,4.3,3.75,3.92,4.25,3.77,3.36,3.56,3.36,4.12,3.46,4.16,3.38,3.58,3.5,3.88,3.78
実績評価,4.23,4.03,4.3,3.75,3.92,4.25,3.77,3.36,3.56,3.36,4.12,3.46,4.16,3.38,3.58,3.5,3.88,3.78
ポテンシャル評価,4.18,3.86,3.94,3.49,3.79,4.13,3.82,3.18,3.35,2.95,3.95,3.06,4.15,3.5,3.15,3.63,3.53,3.53
前走レース名,"<a href=""/race/201205040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201206040511/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/201209030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201201020211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201205040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201205040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201208030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201205030211/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/201206040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201206040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201209030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201205040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201208030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/201206040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201205040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201206040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201204030811/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/201209030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>"
前走オッズ,4.4,2.0,4.4,1.7,3.5,61.6,62.7,6.6,3.1,13.7,21.4,21.5,10.2,182.9,7.4,80.1,14.7,8.6
前走成績,9,1,2,2,1,2,4,9,1,2,7,14,2,13,16,12,1,12
