,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
芝適性,3,3,6,14,8,5,11,3,11,7,7,26,9,8,3,19,23
距離適性,57,62,72,63,55,54,65,58,28,46,74,63,66,33,58,62,27
脚質,109,52,92,28,51,78,96,95,104,12,35,54,95,87,55,70,25
成長,98,50,57,67,46,70,83,74,70,76,73,75,76,56,61,59,60
馬場適性,49,83,37,47,49,50,61,49,60,33,54,49,49,58,53,40,52
総合評価,4.25,4.28,4.23,3.0,3.95,3.56,3.34,3.05,3.66,3.62,4.16,3.78,3.87,3.75,3.36,3.24,3.92
実績評価,4.25,4.28,4.23,3.0,3.95,3.56,3.34,3.05,3.66,3.62,4.16,3.78,3.87,3.75,3.36,3.24,3.92
ポテンシャル評価,4.13,4.42,4.18,2.88,3.81,3.35,2.98,3.0,3.21,3.48,4.15,3.53,3.47,3.75,2.95,2.98,3.88
前走レース名,"<a href=""/race/201305040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201309030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201305040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201308040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201305040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/201309030811/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/201308040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201306040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201306040211/"" title=""京成杯オータムH(G3)"">京成杯オータムH(G3)</a>","<a href=""/race/201302040211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201302040211/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/201308040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/201306040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201305040411/"" title=""アイルランドT(OP)"">アイルランドT(OP)</a>","<a href=""/race/201306040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201306040711/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/201305040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>"
前走オッズ,9.3,2.4,7.9,50.1,5.2,49.0,166.2,38.0,22.3,3.4,10.2,33.2,14.1,16.5,6.9,3.0,9.8
前走成績,2,3,1,2,7,6,1,1,11,1,13,6,7,1,8,3,4
