,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,9,7,7,8,7,4,5,10,8,4,7,2,7,4,4,9,4,11
距離適性,58,65,46,27,56,76,29,53,80,99,57,61,87,24,97,45,59,57
脚質,92,59,24,79,113,73,110,6,3,97,9,106,98,112,85,36,99,79
成長,88,67,48,94,58,80,73,40,112,75,65,78,75,62,73,55,64,87
馬場適性,50,47,49,36,66,63,75,49,27,51,32,77,44,72,67,51,69,54
総合評価,3.88,4.31,3.78,3.75,4.03,4.35,4.06,3.25,4.29,,3.82,3.5,3.64,3.7,3.57,3.25,4.0,3.83
実績評価,3.88,4.31,3.78,3.75,4.03,4.35,4.06,3.25,4.29,,3.82,3.5,3.64,3.7,3.57,3.25,4.0,3.83
ポテンシャル評価,3.88,4.31,3.69,3.75,4.11,4.27,4.06,3.25,4.23,,3.68,3.5,3.71,3.7,3.29,3.25,4.09,3.83
前走レース名,"<a href=""/race/200501010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/2005A6081604/"" title=""インターナショナルS(G1)"">インターナショナルS(G1)</a>","<a href=""/race/200505040411/"" title=""府中牝馬S(G3)"">府中牝馬S(G3)</a>","<a href=""/race/200505030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/200505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200509040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200506040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200508030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200508040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200506040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200505040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>"
前走オッズ,17.7,,5.3,12.3,5.5,18.3,16.2,13.2,1.9,5.9,9.2,17.9,35.1,9.6,1.7,21.4,31.2,12.4
前走成績,1,2,8,1,6,2,9,8,7,1,4,1,1,2,1,1,8,14
2走前レース名,"<a href=""/race/200501010209/"" title=""クイーンS(G3)"">クイーンS(G3)</a>","<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200501010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200505020811/"" title=""京王杯スプリングC(G2)"">京王杯スプリングC(G2)</a>","<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200508030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200505030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/200505010411/"" title=""共同通信杯(G3)"">共同通信杯(G3)</a>","<a href=""/race/200507020311/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/200501010409/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200505030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200509020511/"" title=""大阪ーハンブルクC(OP)"">大阪ーハンブルクC(OP)</a>","<a href=""/race/200505030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/200509030411/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200405050311/"" title=""京王杯2歳S(G2)"">京王杯2歳S(G2)</a>","<a href=""/race/200507020311/"" title=""金鯱賞(G2)"">金鯱賞(G2)</a>","<a href=""/race/200510030210/"" title=""小倉記念(G3)"">小倉記念(G3)</a>"
2走前オッズ,43.0,3.0,6.0,18.2,38.5,13.7,12.9,2.2,1.4,9.5,19.2,25.8,4.8,5.8,18.8,4.0,5.2,2.0
2走前成績,2,3,12,1,1,5,15,1,1,9,7,5,3,6,4,2,4,1
3走前レース名,"<a href=""/race/200503010811/"" title=""福島牝馬S(G3)"">福島牝馬S(G3)</a>","<a href=""/race/200406050809/"" title=""有馬記念(G1)"">有馬記念(G1)</a>","<a href=""/race/200501010209/"" title=""クイーンS(G3)"">クイーンS(G3)</a>","<a href=""/race/200509020711/"" title=""読売マイラーズC(G2)"">読売マイラーズC(G2)</a>","<a href=""/race/200505030611/"" title=""安田記念(G1)"">安田記念(G1)</a>","<a href=""/race/200509020411/"" title=""産経大阪杯(G2)"">産経大阪杯(G2)</a>","<a href=""/race/200509020711/"" title=""読売マイラーズC(G2)"">読売マイラーズC(G2)</a>","<a href=""/race/200406050411/"" title=""朝日杯FS(G1)"">朝日杯FS(G1)</a>","<a href=""/race/200406050809/"" title=""有馬記念(G1)"">有馬記念(G1)</a>","<a href=""/race/200405050811/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200506020211/"" title=""中山記念(G2)"">中山記念(G2)</a>","<a href=""/race/200508030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200409050411/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/200505020811/"" title=""京王杯スプリングC(G2)"">京王杯スプリングC(G2)</a>","<a href=""/race/200508030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200405040509/"" title=""いちょうS(OP)"">いちょうS(OP)</a>","<a href=""/race/200508030411/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200510020210/"" title=""TV西日本北九州記念(G3)"">TV西日本北九州記念(G3)</a>"
3走前オッズ,6.9,2.0,3.3,48.3,17.6,5.3,2.0,5.8,8.8,12.4,7.6,19.7,1.9,4.8,5.4,1.7,10.8,2.3
3走前成績,10,1,8,3,2,2,9,2,2,16,1,14,2,3,6,3,11,1
