Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ソングオブウインド,ドリームパスポート,アドマイヤメイン,メイショウサムソン,アクシオン,インテレット,マルカシェンク,トーホウアラン,タガノマーシャル,ネヴァブション,ミストラルクルーズ,アペリティフ,マンノレーシング,トウショウシロッコ,フサイチジャンク,トーセンシャナオー,パッシングマーク,シルククルセイダー
騎手名,武幸四郎,横山典弘,武豊,石橋守,田中勝春,藤岡佑介,福永祐一,藤田伸二,和田竜二,石橋脩,池添謙一,安藤勝己,小牧太,吉田豊,岩田康誠,イネス,四位洋文,秋山真一
枠順,18,13,5,12,15,9,7,1,4,6,2,14,8,16,10,11,17,3
走破タイム,3:02.7,3:02.7,3:03.0,3:03.4,3:03.5,3:03.5,3:03.8,3:03.8,3:03.9,3:03.9,3:04.0,3:04.4,3:04.6,3:04.8,3:05.0,3:05.1,3:05.1,3:05.4
オッズ,44.2,4.9,6.2,2.0,60.5,152.5,8.1,24.9,143.1,69.3,63.4,29.2,243.6,126.8,17.2,48.9,254.4,198.4
通過順位,16-16-16-8,6-6-6-7,1-1-1-1,4-4-4-2,12-14-13-13,17-16-17-17,9-9-10-12,4-5-5-5,12-11-14-13,15-15-14-16,12-11-10-13,7-7-6-5,2-2-2-2,11-11-10-8,7-7-9-8,2-2-2-2,18-18-17-18,9-9-6-8
馬体重,480(+4),466(+4),498(+8),518(+6),520(-10),474(-4),506(-4),480(+10),526(-6),470(-4),486(-4),498(+6),464(+4),464(+2),484(+4),452(+14),478(0),510(+6)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,33.5,34.0,35.9,34.9,34.4,34.0,34.9,35.2,34.7,34.6,34.9,35.8,36.2,35.9,36.2,36.7,35.4,36.6
人気,8,2,3,1,10,15,4,6,14,12,11,7,17,13,5,9,18,16
芝適性,18,6,11,10,23,30,8,8,52,11,20,20,81,11,9,24,43,95
距離適性,93,71,66,82,71,68,56,79,51,90,71,68,70,60,68,57,58,61
脚質,100,104,9,24,75,79,100,38,22,83,73,41,56,75,82,20,72,69
成長,80,60,50,67,84,64,45,66,46,85,63,64,68,58,53,53,64,75
馬場適性,37,44,50,27,45,50,52,66,50,49,50,53,71,57,53,68,50,55
総合評価,3.94,3.91,3.0,4.14,3.5,,3.83,3.25,3.0,3.38,3.0,,2.75,3.33,3.5,3.0,,3.0
実績評価,3.94,3.91,3.0,4.14,3.5,,3.83,3.25,3.0,3.38,3.0,,2.75,3.33,3.5,3.0,,3.0
ポテンシャル評価,3.91,3.44,2.67,4.24,3.5,,3.83,3.25,3.0,3.5,2.75,,2.75,3.33,2.5,3.0,,3.08
前走レース名,"<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200601020611/"" title=""HTB賞(1000万下)"">HTB賞(1000万下)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200605040211/"" title=""毎日王冠(G2)"">毎日王冠(G2)</a>","<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200601020111/"" title=""TVh賞(1000万下)"">TVh賞(1000万下)</a>","<a href=""/race/200606040710/"" title=""九十九里特別(1000万下)"">九十九里特別(1000万下)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200607030611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200607030411/"" title=""納屋橋S(1600万下)"">納屋橋S(1600万下)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200606040812/"" title=""利根川特別(1000万下)"">利根川特別(1000万下)</a>"
前走オッズ,42.3,8.6,3.6,1.6,1.6,12.2,13.4,34.2,3.2,5.8,28.5,36.3,3.4,11.3,2.4,67.8,45.4,2.4
前走成績,3,1,7,2,1,9,4,9,1,1,3,9,3,2,6,1,11,1
2走前レース名,"<a href=""/race/200603020611/"" title=""ラジオNIKKEI賞(G3)"">ラジオNIKKEI賞(G3)</a>","<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200601020111/"" title=""TVh賞(1000万下)"">TVh賞(1000万下)</a>","<a href=""/race/200606030811/"" title=""皐月賞(G1)"">皐月賞(G1)</a>","<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200608030511/"" title=""京都新聞杯(G2)"">京都新聞杯(G2)</a>","<a href=""/race/200601010311/"" title=""日高特別(1000万下)"">日高特別(1000万下)</a>","<a href=""/race/200606040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200605030107/"" title=""3歳500万下"">3歳500万下</a>","<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200601010211/"" title=""羊蹄山特別(1000万下)"">羊蹄山特別(1000万下)</a>","<a href=""/race/200604030111/"" title=""天の川S(1600万下)"">天の川S(1600万下)</a>","<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200604030306/"" title=""3歳以上500万下"">3歳以上500万下</a>","<a href=""/race/200605030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200607030110/"" title=""大須特別(1000万下)"">大須特別(1000万下)</a>"
2走前オッズ,5.5,13.0,6.4,3.8,2.1,60.3,7.6,14.1,9.4,80.8,2.9,108.5,20.7,5.2,5.5,3.8,152.5,3.8
2走前成績,2,3,2,1,2,8,4,1,6,中,1,6,1,2,11,2,13,2
