Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,オウケンブルースリ,フローテーション,ナムラクレセント,スマートギア,マイネルチャールズ,ベンチャーナイン,ホワイトピルグリム,ダイワワイルドボア,ヤマニンキングリー,ドットコム,ロードアリエス,メイショウクオリア,ダイシンプラン,シゲルフセルト,ミッキーチアフル,スマイルジャック,アグネススターチ,ノットアローン
騎手名,内田博幸,藤岡佑介,和田竜二,武豊,松岡正海,武士沢友,川田将雅,北村宏司,柴山雄一,岩田康誠,鮫島良太,角田晃一,安藤勝己,川島信二,幸英明,小牧太,赤木高太,横山典弘
枠順,14,1,5,8,9,15,16,18,12,7,6,4,17,13,11,10,3,2
走破タイム,3:05.7,3:05.9,3:06.1,3:06.2,3:06.5,3:06.6,3:06.7,3:06.8,3:06.8,3:06.9,3:07.0,3:07.1,3:07.3,3:07.7,3:07.9,3:08.9,3:09.4,3:12.3
オッズ,3.7,37.7,23.4,10.3,6.6,20.1,43.5,10.3,39.0,40.2,18.4,25.6,26.7,28.7,23.4,7.8,25.0,13.0
通過順位,12-12-10-2,12-12-13-16,4-4-3-2,14-14-13-7,5-6-4-6,15-15-16-11,15-17-17-13,9-9-9-11,10-10-6-7,15-15-17-16,5-4-10-14,10-10-10-16,18-18-13-7,5-6-4-7,5-8-6-2,3-3-2-1,2-2-1-2,1-1-6-14
馬体重,484(-2),484(-6),486(-2),454(+10),460(0),482(+6),456(0),526(0),476(+2),474(-6),508(-6),466(+6),504(-4),444(+8),508(+8),480(+6),474(+4),480(+16)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,34.8,34.6,35.4,35.1,35.7,35.4,35.3,35.8,35.9,35.4,35.9,36.0,36.1,36.9,37.1,38.4,39.0,41.3
人気,1,15,9,5,2,8,18,4,16,17,7,12,13,14,10,3,11,6
芝適性,5,10,7,9,19,16,17,17,26,56,29,36,20,10,16,10,44,19
距離適性,100,91,79,67,65,74,68,77,60,74,71,77,54,58,55,56,70,56
脚質,111,64,67,106,40,102,94,51,66,76,22,41,90,67,26,56,24,38
成長,80,77,72,76,50,62,76,60,63,60,77,70,53,80,61,59,66,54
馬場適性,60,57,52,72,39,52,62,55,53,43,36,38,60,56,54,50,45,51
総合評価,3.48,3.0,3.86,3.36,3.2,,3.56,,3.45,3.0,3.3,2.9,2.83,,2.67,3.86,,
実績評価,3.48,3.0,3.86,3.36,3.2,,3.56,,3.45,3.0,3.3,2.9,2.83,,2.67,3.86,,
ポテンシャル評価,3.42,2.5,3.79,3.29,3.0,,3.06,,3.55,3.0,3.0,2.8,2.83,,2.67,3.69,,
前走レース名,"<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040109/"" title=""野分特別(1000万下)"">野分特別(1000万下)</a>","<a href=""/race/200806040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040210/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/200806040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200806040809/"" title=""習志野特別(1000万下)"">習志野特別(1000万下)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200805040110/"" title=""本栖湖特別(1000万下)"">本栖湖特別(1000万下)</a>","<a href=""/race/200809040310/"" title=""西宮S(1600万下)"">西宮S(1600万下)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200809040809/"" title=""兵庫特別(1000万下)"">兵庫特別(1000万下)</a>","<a href=""/race/200806040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>"
前走オッズ,4.2,128.6,31.1,2.5,3.1,81.5,20.8,18.5,21.0,10.4,133.8,107.4,2.1,6.1,25.9,8.1,6.1,11.5
前走成績,3,12,6,1,2,4,7,1,8,1,5,17,1,1,7,9,1,3
