,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,クロノジェネシス,サラキア,フィエールマン,ラッキーライラック,ワールドプレミア,カレンブーケドール,ペルシアンナイト,クレッシェンドラヴ,オセアグレイト,ラヴズオンリーユー,ユーキャンスマイル,キセキ,バビット,オーソリティ,モズベッロ,ブラストワンピース
騎手名,北村友一,松山弘平,ルメール,福永祐一,武豊,池添謙一,大野拓弥,坂井瑠星,横山典弘,Ｍ．デム,岩田康誠,浜中俊,内田博幸,川田将雅,田辺裕信,横山武史
枠順,9,14,13,7,5,10,8,3,15,4,16,6,1,12,11,2
走破タイム,2:35.0,2:35.0,2:35.1,2:35.5,2:35.6,2:35.6,2:35.6,2:35.8,2:35.9,2:35.9,2:36.4,2:36.5,2:36.8,2:37.0,2:38.2,
オッズ,2.5,74.9,3.5,8.1,13.5,7.9,148.1,188.1,183.4,15.5,157.0,24.9,36.2,20.3,174.6,33.1
通過順位,12-12-3-3,13-13-13-12,2-4-2-2,9-9-7-5,5-5-10-12,8-5-3-3,9-9-10-9,5-5-7-9,5-5-7-8,9-9-10-9,15-14-16-15,14-14-6-5,1-1-1-1,2-2-3-5,15-16-14-14,2-2-14-16
馬体重,474(+10),448(-2),478(0),522(0),484(+2),478(+4),500(0),500(0),494(-2),480(-6),504(+6),516(+8),458(+8),514(+2),470(-10),546(-4)
性齢,牝4,牝5,牡5,牝5,牡4,牝4,牡6,牡6,牡4,牝4,牡5,牡6,牡3,牡3,牡4,牡5
斤量,55,55,57,55,57,55,57,57,57,55,57,57,55,55,57,57
上がり3ハロン,36.2,35.4,36.5,36.5,36.3,36.8,36.2,36.8,36.8,36.6,36.5,37.6,38.4,38.2,38.5,
人気,1,11,2,4,5,3,12,16,15,6,13,8,10,7,14,9
