,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
芝適性,6,4,9,20,6,7,4,10,5,17,4,89,15,90,13,10,11,7
距離適性,112,99,101,60,103,87,76,37,56,79,80,68,60,58,48,53,60,86
脚質,25,97,73,6,102,98,73,49,100,23,105,16,11,5,90,24,46,12
成長,83,75,94,46,90,75,80,46,87,61,60,52,66,69,69,55,72,66
馬場適性,43,51,48,46,47,44,63,67,55,53,75,33,48,39,61,63,57,66
総合評価,3.9,,,3.59,,3.64,4.35,3.0,4.18,3.0,3.9,,,,,,,
実績評価,3.9,,,3.59,,3.64,4.35,3.0,4.18,3.0,3.9,,,,,,,
ポテンシャル評価,4.0,,,3.45,,3.71,4.27,3.0,4.15,2.25,3.5,,,,,,,
前走レース名,"<a href=""/race/200406040709/"" title=""九十九里特別(1000万下)"">九十九里特別(1000万下)</a>","<a href=""/race/200406040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200409040111/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/200406040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200405020511/"" title=""プリンシパルS(OP)"">プリンシパルS(OP)</a>","<a href=""/race/200409040111/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/200409040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200409040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200403020611/"" title=""ラジオたんぱ賞(G3)"">ラジオたんぱ賞(G3)</a>","<a href=""/race/200406040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200406040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200409040111/"" title=""朝日チャレンジC(G3)"">朝日チャレンジC(G3)</a>","<a href=""/race/200409040610/"" title=""ビワハヤヒデM(1000万下)"">ビワハヤヒデM(1000万下)</a>","<a href=""/race/200406040812/"" title=""利根川特別(1000万下)"">利根川特別(1000万下)</a>","<a href=""/race/200404030610/"" title=""シンボリルドルフM(1000万下)"">シンボリルドルフM(1000万下)</a>","<a href=""/race/200409040611/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200406040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200409040809/"" title=""夕月特別(1000万下)"">夕月特別(1000万下)</a>"
前走オッズ,1.8,7.2,3.0,1.3,7.3,2.6,2.4,18.7,4.0,60.8,2.8,37.5,6.4,11.7,4.2,10.8,50.6,3.5
前走成績,1,2,7,1,7,1,3,4,2,4,4,5,7,1,1,2,3,2
