,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,メイショウサムソン,アグネスアーク,カンパニー,ポップロック,コスモバルク,アドマイヤムーン,シルクネクサス,チョウサン,ダイワメジャー,ブライトトゥモロー,ローゼンクロイツ,デルタブルース,シャドウゲイト,エイシンデピュティ,マツリダゴッホ,ボンネビルレコード,,
騎手名,武豊,吉田隼人,福永祐一,ペリエ,五十嵐冬,岩田康誠,四位洋文,横山典弘,安藤勝己,後藤浩輝,藤岡佑介,川田将雅,田中勝春,柴山雄一,蛯名正義,柴田善臣,,
枠順,1,9,6,15,3,12,7,13,14,10,5,4,11,2,16,8,,
走破タイム,1:58.4,1:58.8,1:58.8,1:59.0,1:59.1,1:59.1,1:59.1,1:59.2,1:59.3,1:59.4,1:59.5,1:59.7,2:00.1,1:59.2,2:00.1,2:01.8,,
オッズ,2.9,30.5,24.5,6.1,46.9,3.8,105.5,17.1,5.6,36.0,58.1,48.0,35.2,92.3,32.4,135.2,,
通過順位,5-4-4,7-7-7,10-10-10,13-13-14,1-1-1,9-7-7,7-7-7,16-16-15,5-6-6,10-10-10,13-13-10,2-2-2,3-4-4,3-3-2,10-10-10,15-15-15,,
馬体重,518(0),430(0),460(-2),496(-4),504(-3),472(+4),502(+4),496(0),530(+2),500(0),464(+6),524(+4),496(+2),498(-4),486(+4),482(+1),,
性齢,牡4,牡4,牡6,牡6,牡6,牡4,牡5,牡5,牡6,牡5,牡5,牡6,牡5,牡5,牡4,牡5,,
斤量,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
上がり3ハロン,34.6,34.7,34.6,34.4,35.7,35.0,35.1,34.3,35.4,35.1,35.2,36.1,36.3,35.6,35.8,36.8,,
人気,1,7,6,4,11,2,15,5,3,10,13,12,9,14,8,16,,
