,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,エイシンフラッシュ,フェノーメノ,ルーラーシップ,ダークシャドウ,カレンブラックヒル,ジャスタウェイ,ジャガーメイル,サダムパテック,ナカヤマナイト,ダイワファルコン,アーネストリー,シルポート,トーセンジョーダン,ネヴァブション,フェデラリスト,マイネルスターリー,トランスワープ,トゥザグローリー
騎手名,Ｍ．デム,蛯名正義,メンディ,福永祐一,秋山真一,内田博幸,石橋脩,武豊,柴田善臣,北村宏司,佐藤哲三,小牧太,スミヨン,三浦皇成,横山典弘,松岡正海,大野拓弥,岩田康誠
枠順,12,4,6,13,16,11,8,5,1,9,7,2,15,3,10,17,14,18
走破タイム,1:57.3,1:57.4,1:57.6,1:57.7,1:57.7,1:57.8,1:57.9,1:57.9,1:58.1,1:58.1,1:58.3,1:58.6,1:58.7,1:59.0,1:59.0,1:59.6,1:59.7,2:00.4
オッズ,16.6,3.4,4.5,5.3,4.7,28.3,131.1,38.0,17.0,117.2,85.4,74.7,20.0,260.9,87.7,367.2,32.6,58.6
通過順位,11-12-12,4-4-4,16-15-15,9-11-11,2-2-2,5-5-6,14-14-14,9-7-7,12-16-17,3-3-3,5-5-5,1-1-1,12-12-12,17-17-15,7-7-10,18-17-18,7-7-7,14-7-7
馬体重,486(-8),496(-2),514(+18),516(+8),466(-2),486(-4),486(+10),508(+2),484(+2),512(+8),528(-4),504(+4),478(0),476(+4),528(+6),480(+8),538(-2),520(-16)
性齢,牡5,牡3,牡5,牡5,牡3,牡3,牡8,牡4,牡4,牡5,牡7,牡7,牡6,牡9,牡5,牡7,セ7,牡5
斤量,58,56,58,58,56,56,58,58,58,58,58,58,58,58,58,58,58,58
上がり3ハロン,33.1,33.8,33.1,33.6,34.5,34.0,33.6,34.0,33.5,34.8,34.6,37.9,34.5,34.5,35.0,34.9,35.8,36.5
人気,5,1,2,4,3,8,16,10,6,15,13,12,7,17,14,18,9,11
