,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,モーリス,リアルスティール,ステファノス,アンビシャス,ロゴタイプ,アドマイヤデウス,ルージュバック,ヒストリカル,ラブリーデイ,サトノノブレス,クラレント,エイシンヒカリ,カムフィー,サトノクラウン,ヤマカツエース,,,
騎手名,ムーア,Ｍ．デム,川田将雅,横山典弘,田辺裕信,岩田康誠,戸崎圭太,田中勝春,ルメール,シュタル,内田博幸,武豊,蛯名正義,福永祐一,池添謙一,,,
枠順,8,12,14,3,5,6,9,11,15,7,2,1,10,4,13,,,
走破タイム,1:59.3,1:59.5,1:59.7,1:59.9,1:59.9,1:59.9,1:59.9,2:00.1,2:00.3,2:00.4,2:00.6,2:00.6,2:00.7,2:00.8,2:00.8,,,
オッズ,3.6,13.0,11.2,6.0,43.2,47.8,5.1,114.9,11.1,44.4,234.8,4.5,248.2,21.5,167.8,,,
通過順位,5-5-4,8-10-10,13-14-14,14-12-10,3-3-4,9-8-8,11-12-10,15-15-15,2-2-2,9-8-8,5-5-7,1-1-1,12-10-10,5-5-4,3-3-2,,,
馬体重,514(+4),502(+4),486(0),466(-8),496(-6),476(-14),450(-4),450(-2),482(-6),496(-10),500(-2),502(0),462(0),480(0),484(-4),,,
性齢,牡5,牡4,牡5,牡4,牡6,牡5,牝4,牡7,牡6,牡6,牡7,牡5,牡7,牡4,牡4,,,
斤量,58,58,58,58,58,58,56,58,58,58,58,58,58,58,58,,,
上がり3ハロン,33.8,33.5,33.5,34.0,34.5,34.2,33.9,33.7,35.1,34.7,35.0,35.5,34.8,35.4,35.6,,,
人気,1,7,6,4,9,11,3,12,5,10,14,2,15,8,13,,,
