,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,キタサンブラック,サトノクラウン,レインボーライン,リアルスティール,マカヒキ,ソウルスターリング,ディサイファ,サクラアンプルール,グレーターロンドン,ステファノス,ヤマカツエース,ミッキーロケット,ネオリアリズム,ロードヴァンドール,シャケトラ,カデナ,ワンアンドオンリー,サトノアラジン
騎手名,武豊,Ｍ．デム,岩田康誠,シュミノ,内田博幸,ルメール,柴山雄一,蛯名正義,田辺裕信,戸崎圭太,池添謙一,和田竜二,シュタル,太宰啓介,Ｃ．デム,福永祐一,横山典弘,川田将雅
枠順,7,2,8,4,15,9,6,1,13,12,5,10,3,11,18,16,17,14
走破タイム,2:08.3,2:08.3,2:08.7,2:09.5,2:09.5,2:09.7,2:09.9,2:10.2,2:10.4,2:10.5,2:10.8,2:10.9,2:12.0,2:14.4,2:15.1,2:15.8,2:16.3,2:16.9
オッズ,3.1,4.0,59.6,7.7,22.6,9.4,131.5,52.5,15.4,24.0,15.9,63.4,16.8,177.5,30.6,147.4,135.5,14.1
通過順位,11-5-2,7-2-2,10-12-5,3-5-5,15-17-15,7-9-10,17-14-10,2-2-2,15-2-1,11-13-10,7-9-10,3-9-10,3-5-8,1-1-5,3-5-8,11-14-15,11-14-18,18-17-17
馬体重,542(0),498(+10),452(+8),508(+2),504(+2),480(0),508(+4),482(+6),472(-2),490(+8),504(-4),476(-8),526(+16),498(+16),526(+16),466(+2),494(+2),532(0)
性齢,牡5,牡5,牡4,牡5,牡4,牝3,牡8,牡6,牡5,牡6,牡5,牡4,牡6,牡4,牡4,牡3,牡6,牡6
斤量,58,58,58,58,58,54,58,58,58,58,58,58,58,58,58,56,58,58
上がり3ハロン,38.5,38.6,38.7,39.5,38.6,39.4,39.6,40.4,40.8,40.3,40.6,40.6,41.9,44.4,45.0,44.9,45.0,45.8
人気,1,2,13,3,9,4,15,12,6,10,7,14,8,18,11,17,16,5
