,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,アーモンドアイ,ダノンプレミアム,アエロリット,ユーキャンスマイル,ワグネリアン,サートゥルナーリア,スワーヴリチャード,ウインブライト,ケイアイノーテック,マカヒキ,ゴーフォザサミット,スティッフェリオ,カデナ,アルアイン,ランフォザローゼス,ドレッドノータス,,
騎手名,ルメール,川田将雅,戸崎圭太,岩田康誠,福永祐一,スミヨン,横山典弘,松岡正海,幸英明,武豊,北村宏司,丸山元気,藤岡佑介,北村友一,Ｍ．デム,坂井瑠星,,
枠順,2,9,5,6,14,10,4,15,3,8,11,7,1,16,13,12,,
走破タイム,1:56.2,1:56.7,1:56.7,1:56.8,1:56.8,1:57.1,1:57.1,1:57.3,1:57.5,1:57.6,1:57.7,1:57.9,1:58.4,1:58.7,1:59.1,2:00.1,,
オッズ,1.6,9.5,20.0,40.6,18.7,3.4,19.1,148.9,257.8,53.0,406.1,145.1,126.0,67.9,150.9,296.2,,
通過順位,5-6-5,5-5-3,1-1-1,13-13-13,11-11-9,2-3-3,7-9-9,7-8-5,14-15-15,14-13-13,11-11-12,2-2-2,16-16-16,9-6-7,9-9-11,4-3-7,,
馬体重,480(-4),508(+4),516(0),488(-8),462(-10),502(+4),514(-10),486(-8),468(-2),504(-4),502(-2),448(+6),472(-6),516(-4),490(0),462(+4),,
性齢,牝4,牡4,牝5,牡4,牡4,牡3,牡5,牡5,牡4,牡6,牡4,牡5,牡5,牡5,牡3,セ6,,
斤量,56,58,56,58,58,56,58,58,58,58,58,58,58,58,56,58,,
上がり3ハロン,33.8,34.5,34.8,33.7,34.0,34.9,34.3,34.8,34.2,34.4,34.7,35.9,34.7,36.1,36.2,37.5,,
人気,1,3,6,7,4,2,5,12,14,8,16,11,10,9,13,15,,
