,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,ブエナビスタ,ペルーサ,アーネストリー,オウケンサクラ,ネヴァブション,シンゲン,トウショウシロッコ,スマイルジャック,アクシオン,ヤマニンキングリー,スーパーホーネット,シルポート,キャプテントゥーレ,アリゼオ,コスモファントム,ショウワモダン,エイシンアポロン,ジャガーメイル
騎手名,スミヨン,安藤勝己,佐藤哲三,北村宏司,後藤浩輝,藤田伸二,吉田豊,三浦皇成,武豊,吉田隼人,藤岡佑介,酒井学,小牧太,福永祐一,松岡正海,柴田善臣,蛯名正義,ホワイト
枠順,2,7,12,5,14,10,9,6,11,13,15,8,16,18,17,1,4,3
走破タイム,1:58.2,1:58.5,1:58.7,1:58.9,1:58.9,1:59.0,1:59.3,1:59.4,1:59.4,1:59.4,1:59.5,1:59.9,2:00.1,2:00.2,2:00.4,2:00.6,2:00.6,2:00.3
オッズ,2.2,8.9,4.9,119.8,43.8,8.3,116.9,55.4,33.9,108.2,27.6,80.7,28.4,24.9,124.1,48.9,26.6,14.6
通過順位,9-8-8,17-17-17,4-4-4,2-2-2,11-10-10,11-10-13,13-14-14,4-6-6,17-18-18,7-8-8,16-14-14,1-1-1,2-2-2,7-6-6,4-4-4,13-14-14,9-10-11,13-13-11
馬体重,456(-4),502(-4),530(0),492(-12),492(+6),494(-2),478(+12),494(+6),530(+4),482(+12),476(+2),488(+2),464(+8),526(+6),492(+2),518(+4),502(0),484(+12)
性齢,牝4,牡3,牡5,牝3,牡7,牡7,牡7,牡5,牡7,牡5,牡7,牡5,牡5,牡3,牡3,牡6,牡3,牡6
斤量,56,56,58,54,58,58,58,58,58,58,58,58,58,56,56,58,56,58
上がり3ハロン,34.1,33.6,34.8,35.2,34.7,34.6,34.7,35.4,34.4,35.3,34.9,36.6,36.4,36.2,36.6,36.1,36.3,36.0
人気,1,4,2,17,11,3,16,13,10,15,8,14,9,6,18,12,7,5
